variant,accuracy_mean,accuracy_std,f1_mean,f1_std,f1_macro_mean,f1_macro_std,mcc_mean,mcc_std,fp_rate_mean,fp_rate_std,fault_recall_mean,fault_recall_std,fp_reduction_mean,fp_reduction_std
Full CAAA,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
CAAA + Contrastive,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
CAAA (clamp loss),1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
CAAA (full penalty),1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
No Context Features,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
No Context Loss,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
No Behavioral,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
Context Only,0.8417,0.1146,0.8403,0.1154,0.8403,0.1154,0.6938,0.2305,0.1333,0.1000,0.8167,0.1740,0.8667,0.1000
Statistical Only,0.9750,0.0534,0.9745,0.0547,0.9745,0.0547,0.9552,0.0947,0.0500,0.1067,1.0000,0.0000,0.9500,0.1067
Stat + Service-Level,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
Baseline RF,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
XGBoost,0.9583,0.0559,0.9582,0.0560,0.9582,0.0560,0.9202,0.1093,0.0333,0.0667,0.9500,0.0764,0.9667,0.0667
LightGBM,0.9750,0.0534,0.9745,0.0547,0.9745,0.0547,0.9552,0.0947,0.0167,0.0500,0.9667,0.1000,0.9833,0.0500
CatBoost,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
CAAA+CatBoost Hybrid,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000
Rule-Based,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
Naive,0.5000,0.0000,0.3333,0.0000,0.3333,0.0000,0.0000,0.0000,1.0000,0.0000,1.0000,0.0000,0.0000,0.0000
